--------------------------------
Started at UT 2015y008d03h51m25s
Elapsed      Time Interval
Time / s          / s
--------------------------------
49960       8.465614132e-01
50021       8.465614137e-01
50082       8.465614117e-01
50143       8.465614087e-01
50204       8.465614082e-01
50265       8.465614142e-01
50326       8.465614102e-01
50387       8.465614187e-01
50448       8.465614127e-01
50509       8.465614132e-01
50570       8.465614127e-01
50631       8.465614067e-01
50692       8.465614147e-01
50753       8.465614112e-01
50814       8.465614102e-01
50875       8.465614122e-01
50936       8.465614117e-01
50997       8.465614132e-01
51058       8.465614042e-01
51119       8.465614052e-01
51180       8.465614042e-01
51241       8.465614082e-01
51302       8.465614062e-01
51363       8.465614082e-01
51424       8.465614072e-01
51485       8.465614147e-01
51546       8.465614127e-01
51607       8.465614087e-01
51668       8.465614167e-01
51729       8.465614132e-01
51790       8.465614062e-01
51851       8.465614157e-01
51912       8.465614022e-01
51973       8.465614082e-01
52034       8.465614347e-01
52095       8.465614152e-01
52156       8.465614147e-01
52217       8.465614152e-01
52278       8.465614127e-01
52339       8.465614147e-01
52400       8.465614117e-01
52461       8.465614107e-01
52522       8.465614097e-01
52583       8.465614092e-01
52644       8.465614142e-01
52705       8.465614122e-01
52766       8.465614122e-01
52827       8.465614137e-01
52888       8.465614132e-01
52949       8.465614097e-01
53010       8.465614122e-01
53071       8.465614092e-01
53132       8.465614037e-01
53193       8.465614087e-01
53254       8.465614087e-01
53315       8.465614032e-01
53376       8.465614057e-01
53437       8.465614072e-01
53498       8.465614092e-01
53559       8.465614062e-01
53620       8.465614147e-01
53681       8.465614042e-01
53742       8.465614107e-01
53803       8.465614122e-01
53864       8.465614137e-01
53925       8.465614032e-01
53986       8.465614157e-01
54047       8.465614117e-01
54108       8.465614082e-01
54169       8.465614132e-01
54230       8.465614147e-01
54291       8.465614147e-01
54352       8.465614117e-01
54413       8.465614182e-01
54474       8.465614162e-01
54535       8.465614177e-01
54596       8.465614147e-01
54657       8.465614112e-01
54718       8.465614127e-01
54779       8.465614167e-01
54840       8.465614162e-01
54901       8.465614192e-01
54962       8.465614112e-01
55023       8.465614137e-01
55084       8.465614172e-01
55145       8.465614182e-01
55206       8.465614112e-01
55267       8.465614132e-01
55328       8.465614137e-01
55389       8.465614097e-01
55450       8.465614152e-01
55511       8.465614132e-01
55572       8.465614137e-01
55633       8.465614112e-01
55694       8.465614092e-01
55755       8.465614087e-01
55816       8.465614107e-01
55877       8.465614082e-01
55938       8.465614107e-01
55999       8.465614057e-01
56060       8.465614147e-01
56121       8.465614052e-01
56182       8.465614112e-01
56243       8.465614112e-01
56304       8.465614132e-01
56365       8.465614112e-01
56426       8.465614117e-01
